2017-08-12 15:24:24,309 [Worker-38] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: cn.baba.babasport:parent:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\pom.xml.
2017-08-12 15:32:48,796 [Worker-42] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-console:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-console\pom.xml.
2017-08-12 15:32:49,983 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /babasport-console/src/main/java
2017-08-12 15:32:49,984 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /babasport-console/src/main/resources
2017-08-12 15:32:50,052 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /babasport-console/src/test/java
2017-08-12 15:32:50,052 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /babasport-console/src/test/resources
2017-08-12 15:32:53,913 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:32:53,979 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:32:53,983 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:32:53,984 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:32:54,231 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:32:54,233 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:32:54,235 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:32:54,236 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:32:54,695 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: cn.baba.babasport:parent:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\pom.xml.
2017-08-12 15:32:55,705 [Worker-37] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-console:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-console\pom.xml.
2017-08-12 15:32:58,162 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:32:58,164 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:32:58,166 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:32:58,167 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:12,119 [Worker-43] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-portal:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-portal\pom.xml.
2017-08-12 15:33:12,304 [Worker-43] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /babasport-portal/src/main/java
2017-08-12 15:33:12,305 [Worker-43] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /babasport-portal/src/main/resources
2017-08-12 15:33:12,305 [Worker-43] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /babasport-portal/src/test/java
2017-08-12 15:33:12,306 [Worker-43] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /babasport-portal/src/test/resources
2017-08-12 15:33:12,893 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:12,894 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:12,895 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:12,896 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:12,968 [Worker-43] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: cn.baba.babasport:parent:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\pom.xml.
2017-08-12 15:33:13,639 [Worker-43] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-console:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-console\pom.xml.
2017-08-12 15:33:13,718 [Worker-43] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-portal:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-portal\pom.xml.
2017-08-12 15:33:16,910 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:16,914 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:16,917 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:16,919 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:17,199 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:17,200 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:17,202 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:17,239 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:31,794 [Worker-44] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-login:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-login\pom.xml.
2017-08-12 15:33:31,971 [Worker-44] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /babasport-login/src/main/java
2017-08-12 15:33:31,971 [Worker-44] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /babasport-login/src/main/resources
2017-08-12 15:33:31,972 [Worker-44] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /babasport-login/src/test/java
2017-08-12 15:33:31,972 [Worker-44] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /babasport-login/src/test/resources
2017-08-12 15:33:32,572 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:32,573 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:32,575 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:32,576 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:32,684 [Worker-44] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: cn.baba.babasport:parent:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\pom.xml.
2017-08-12 15:33:33,429 [Worker-44] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-console:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-console\pom.xml.
2017-08-12 15:33:33,515 [Worker-44] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-portal:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-portal\pom.xml.
2017-08-12 15:33:33,589 [Worker-44] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-login:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-login\pom.xml.
2017-08-12 15:33:35,969 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:35,971 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:35,974 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:35,975 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:36,149 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:36,150 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:36,152 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:36,153 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:36,185 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:36,186 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:33:36,188 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-08-12 15:33:36,189 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-08-12 15:34:01,722 [Worker-44] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.baba.babasport:babasport-product-service:0.0.1-SNAPSHOT @ F:\workspace\babasportProject\parent\babasport-product-service\pom.xml.
2017-08-12 15:34:01,899 [Worker-44] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /babasport-product-service/src/main/java
2017-08-12 15:34:01,899 [Worker-44] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /babasport-product-service/src/main/resources
2017-08-12 15:34:01,899 [Worker-44] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /babasport-product-service/src/test/java
